"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.345,0.4697,0.1247,1.21309470960564,1.94917130750827,0.736076597902637,0.2495876031442,0,0,0.375561111312799,0.324813679604298,1.3744395161056,1.11258250827357
"050318A",0.4421,0.3874,-0.0547,1.76757883062595,1.44005715942821,-0.327521671197738,-0.134227048711633,0,0,0.470248172782742,0.42408930783841,1.95289614450756,1.65515150826834
"050802A",0.4594,0.433,-0.0264,1.88004981744286,1.71019163189084,-0.169858185552013,-0.0626738654024647,0,0,0.476785312021093,0.443044751434971,1.99768028735757,1.77360589333695
"050803A",0.5176,0.6532,0.1356,2.29306270175208,3.49987033872151,1.20680763696942,0.268187202325544,0,0,0.559999610949099,0.480488434921749,2.63077729516645,2.02335005890682
"050824A",0.1779,0.2619,0.084,0.506260197025902,0.82767932897041,0.321419131944507,0.175861884986998,0,0,0.260461585492362,0.0859861608377184,0.821635937398291,0.21895075540555
"060115A",0.5518,0.6561,0.1043,2.56287019404553,3.5300187543224,0.967148560276874,0.213497694541342,0,0,0.57912120905121,0.512071512895067,2.79420864343153,2.25140832138728
"060124A",0.4232,0.518,0.0948,1.64972009887896,2.29609712177458,0.646377022895614,0.196103755142874,0,0,0.477116302118405,0.388499505312942,1.99996578883759,1.44624248963506
"060206A",0.5198,0.7031,0.1833,2.30978665072841,4.04777513500947,1.73798848428106,0.344307826279152,0,0,0.541688748630136,0.48169739821288,2.48087757123729,2.03177800714551
"060210A",0.5259,0.6911,0.1652,2.35660316699933,3.91020924883086,1.55360608183153,0.316403233161895,0,0,0.544778839005026,0.488954198214411,2.50573301835274,2.08286280665877
"060306A",0.4056,0.4081,0.0025,1.54448561514664,1.55917509090989,0.0146894757632579,0.0057399260470432,0,0,0.418813686696509,0.377569397766016,1.62309298921345,1.38544494542495
