"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.433,0.4829,0.0499,1.71019163189084,2.04018491662944,0.329993284738599,0.108543820125406,0,0,0.445866826051873,0.411875149858483,1.79168765473171,1.58151795414005
"011211A",0.4792,0.4969,0.0177,2.01439388427947,2.13978564827282,0.125391763993351,0.0399364090546527,0,0,0.496289326392058,0.464043853365699,2.13537381045844,1.91101104578684
"030329A",0.2841,0.0682,-0.2159,0.923534588128998,0.170038089423047,-0.753496498705951,-0.643993136221321,0,0,0.293274893464603,0.273771255729977,0.964603409728102,0.878327235353742
"050315A",0.3997,0.4697,0.07,1.51015188099533,1.94917130750827,0.439019426512944,0.148861961797624,0,0,0.430445793679072,0.380748823044122,1.69429902332867,1.40297262364705
"050318A",0.4639,0.3874,-0.0765,1.91004697783771,1.44005715942821,-0.469989818409505,-0.192614265855821,0,0,0.480146518903847,0.439020049638627,2.02097074017504,1.74802101530952
"050319A",0.4175,0.6274,0.2099,1.615170448138,3.24033335385019,1.62516290571219,0.383263005545674,0,0,0.454468069864347,0.40163912956356,1.84752843690639,1.52138479519983
"050401A",0.4049,0.5911,0.1862,1.54038769231668,2.90031784475066,1.35993015243398,0.348671622817683,0,0,0.418293315021557,0.388672201909816,1.61995188124598,1.44721542799071
"050416A",0.2448,0.2182,-0.0266,0.757114246595094,0.65272272994873,-0.104391516646364,-0.0631633575037736,0,0,0.290132054990979,0.221716482056054,0.950437574968291,0.666159148433719
"050502A",0.5126,0.6803,0.1677,2.25536732471636,3.78960832497788,1.53424100026152,0.320327028049544,0,0,0.524759337429507,0.50043850057554,2.34779870804483,2.1654721765912
"050502B",0.52,0.6806,0.1606,2.31131121482591,3.79291801219085,1.48160679736494,0.3091241689502,0,0,0.556898978101135,0.489940381972632,2.60494778030349,2.08987123952868
"050505A",0.6026,0.7218,0.1192,3.00497675712159,4.26987118996723,1.26489443284564,0.240023785638963,0,0,0.650807653807995,0.582288374646707,3.47515058779575,2.82197968790945
"050525A",0.2994,0.2068,-0.0926,0.992507661496397,0.609904076215706,-0.382603585280691,-0.237656137985595,0,0,0.322389655008161,0.27151460742264,1.10082392654847,0.868592525997605
"050603A",0.3317,0.5821,0.2504,1.14634731772398,2.82032226884411,1.67397495112013,0.438176371865772,0,0,0.350337667083861,0.30985285619159,1.24046243720664,1.04104629828475
"050730A",0.4881,0.6961,0.208,2.07680519375975,3.96706679223423,1.89026159847448,0.380558924923219,0,0,0.52323494109874,0.461716365390286,2.33606835871332,1.89545197116283
"050801A",0.4188,0.4082,-0.0106,1.62301032430877,1.559764430599,-0.0632458937097686,-0.0247077008156445,0,0,0.444119301877892,0.381385193973406,1.78047696746072,1.40649627611446
"050802A",0.4603,0.433,-0.0273,1.88602440975697,1.71019163189084,-0.175832777866129,-0.064878356126963,0,0,0.504140306780472,0.444533196324863,2.19256910638703,1.78312810069464
"050820A",0.4262,0.5581,0.1319,1.66808708115436,2.61493089917358,0.946843818019213,0.261925841579897,0,0,0.445478574608249,0.395676165053107,1.78919305148799,1.48700217484034
"050824A",0.1612,0.2619,0.1007,0.449439191287786,0.82767932897041,0.378240137682624,0.206951039871802,0,0,0.203870695246175,0.122411082472455,0.599081854777703,0.325595687284232
"050904A",0.7263,0.863,0.1367,4.32475953612995,6.29457510254569,1.96981556641574,0.270038424270703,0,0,0.753765776710794,0.666444072611382,4.67238600313372,3.63921043509937
"050922C",0.3482,0.5049,0.1567,1.22946161791639,2.19815862166661,0.968697003750221,0.302892107097996,0,0,0.376976911325051,0.316679591569968,1.38219281995362,1.07338327788407
"051016B",0.3727,0.287,-0.0857,1.35884823562898,0.936421963946607,-0.422426271682377,-0.218147841507351,0,0,0.387933901358487,0.340709023398196,1.44305869636841,1.19133625164635
"051109A",0.4953,0.5245,0.0292,2.12823953225774,2.34580017853301,0.217560646275269,0.0650249969113996,0,0,0.516341733128977,0.47824539580182,2.28353562926991,2.00777535013008
"051111A",0.4858,0.4065,-0.0793,2.06055367205366,1.54976408779928,-0.510789584254381,-0.200328174162672,0,0,0.496192474776428,0.472010706818721,2.13467467156956,1.96490448348443
"060115A",0.5782,0.6561,0.0779,2.78616904103359,3.5300187543224,0.74384971328881,0.164204554910297,0,0,0.5898473707211,0.565061022389187,2.88908442251367,2.67333910682114
"060124A",0.4463,0.518,0.0717,1.79447352859712,2.29609712177458,0.50162359317746,0.152187139712495,0,0,0.475325881081642,0.415925428012025,1.98762359792688,1.60570609009594
"060206A",0.5599,0.7031,0.1432,2.62994462582726,4.04777513500947,1.41783050918221,0.280882264217491,0,0,0.596087483163793,0.523858443343639,2.94536768543487,2.34086128157807
"060210A",0.5612,0.6911,0.1299,2.64082663789401,3.91020924883086,1.26938261093685,0.258519046054727,0,0,0.587922681665894,0.544136972332705,2.87188706788501,2.50055553799117
"060223A",0.7266,0.7332,0.00659999999999994,4.32843902041199,4.41003406863468,0.0815950482226864,0.015082169019183,0,0,0.771663613205918,0.688085160117193,4.91103612064507,3.87624098166455
"060306A",0.381,0.4081,0.0271,1.40436280000693,1.55917509090989,0.15481229090296,0.0604930438143323,0,0,0.406559070937695,0.352011661432053,1.55011091974271,1.2491149970005
"060502A",0.4868,0.3984,-0.0884,2.06760897691794,1.50264932573108,-0.564959651186858,-0.225744632049806,0,0,0.50573046910147,0.468692539721062,2.20428007394395,1.94233785802538
"060510B",0.5531,0.7709,0.2178,2.57355112734903,4.90065196995666,2.32710084260763,0.394380291272241,0,0,0.605772230876593,0.512848910546155,3.03433753500426,2.25723363327486
"060512A",0.3959,0.1584,-0.2375,1.4882843036797,0.44012437117557,-1.04815993250413,-0.727825980507863,0,0,0.417839893998915,0.360186753182119,1.61721797281031,1.29185297227097
"060526A",0.5562,0.6254,0.0691999999999999,2.59915043999954,3.22085079179884,0.621700351799304,0.147292662656371,0,0,0.574431010343298,0.530632170433623,2.7534532442144,2.39337745730073
"060707A",0.5375,0.6459,0.1084,2.44746606573149,3.42486474355665,0.977398677825156,0.220887808886907,0,0,0.553772409865886,0.504420695671305,2.5790882738477,2.19463095606905
"060708A",0.4812,0.4654,-0.0158,2.02830769426578,1.92011530139416,-0.108192392871623,-0.0370507263257612,0,0,0.510355982046064,0.458336058688629,2.23859008576144,1.87300286243145
