"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4361,0.4829,0.0468,1.72960622551359,2.04018491662944,0.310578691115857,0.102157829090273,0,0,0.45076467164406,0.422304781643257,1.8233496900239,1.64426381276737
"011211A",0.4891,0.4969,0.00780000000000003,2.08389796225068,2.13978564827282,0.0558876860221358,0.0177998412257472,0,0,0.507012238514475,0.469645078525955,2.21375110158052,1.94879837485325
"030329A",0.2822,0.0682,-0.214,0.915137675467472,0.170038089423047,-0.745099586044425,-0.636816521427809,0,0,0.305623532521036,0.255927188252781,1.02126628758502,0.802715480819203
"050315A",0.3718,0.4697,0.0979,1.35396499330743,1.94917130750827,0.595206314200841,0.201821546508848,0,0,0.414625793312053,0.334515053346249,1.59792011949002,1.16030491312487
"050318A",0.4551,0.3874,-0.0677,1.85167481430501,1.44005715942821,-0.411617654876805,-0.168691808421923,0,0,0.477906873572363,0.430605977525072,2.00543177421135,1.69529296361462
"050319A",0.4222,0.6274,0.2052,1.64362591176344,3.24033335385019,1.59670744208674,0.376552338894994,0,0,0.451868087335818,0.398722140100021,1.83053211901098,1.50450636701175
"050401A",0.3955,0.5911,0.1956,1.48599356422823,2.90031784475066,1.41432428052243,0.362617698561653,0,0,0.408861161774543,0.38302605153407,1.56366433578067,1.41560573232007
"050416A",0.2458,0.2182,-0.0276,0.761164813263565,0.65272272994873,-0.108442083314835,-0.0656142021585189,0,0,0.282135482304355,0.207975278555796,0.914853188564308,0.614266664940244
"050502A",0.5163,0.6803,0.164,2.28322011609199,3.78960832497788,1.50638820888589,0.314511773547339,0,0,0.535269338947343,0.495305721883785,2.42980428779123,2.12828074747395
"050502B",0.5208,0.6806,0.1598,2.31741649694539,3.79291801219085,1.47550151524546,0.307850355773353,0,0,0.538823523505266,0.506205903947131,2.45798833174788,2.20778981362514
"050505A",0.5911,0.7218,0.1307,2.90031784475066,4.26987118996723,1.36955334521658,0.259883647217778,0,0,0.623816283994959,0.574906832228482,3.20548689514991,2.75756785769878
"050525A",0.3209,0.2068,-0.1141,1.0936303241481,0.609904076215706,-0.483726247932391,-0.300468987611643,0,0,0.352227374392066,0.250671207065058,1.25023240415914,0.781029886006547
"050603A",0.3338,0.5821,0.2483,1.15675095989817,2.82032226884411,1.66357130894594,0.43545313507001,0,0,0.354947877829046,0.315278806326858,1.26437253095363,1.06670650453526
"050730A",0.4992,0.6961,0.1969,2.15645789129907,3.96706679223423,1.81060890093516,0.364522760951384,0,0,0.529674249209947,0.470802549684772,2.38590094964866,1.95666792323361
"050801A",0.4177,0.4082,-0.00950000000000001,1.61637505598582,1.559764430599,-0.0566106253868215,-0.0221155606000722,0,0,0.442926311070971,0.388138562672111,1.77284958140042,1.44421025931437
"050802A",0.4629,0.433,-0.0299,1.90335405551531,1.71019163189084,-0.193162423624472,-0.0712726072029476,0,0,0.489666530774087,0.444447288098571,2.08792348690386,1.78257762178569
"050820A",0.4282,0.5581,0.1299,1.68040241156547,2.61493089917358,0.934528487608109,0.258519046054727,0,0,0.470733399342018,0.407802987857327,1.95619718659617,1.55742548033117
"050824A",0.1805,0.2619,0.0814,0.515304803698702,0.82767932897041,0.312374525271708,0.170913201413553,0,0,0.204812916057637,0.155392637277354,0.602554898671057,0.430186378158878
"050904A",0.7153,0.863,0.1477,4.19158537106354,6.29457510254569,2.10298973148214,0.288295027732079,0,0,0.740247947268731,0.690831297837642,4.49854707138402,3.9071721948866
"050922C",0.3439,0.5049,0.161,1.20749637966914,2.19815862166661,0.99066224199747,0.309760196159758,0,0,0.368655942226783,0.305037599192851,1.33698509339569,1.01854111200203
"051016B",0.378,0.287,-0.091,1.38781128291318,0.936421963946607,-0.45138931896657,-0.233104833228909,0,0,0.421630498218154,0.350179466814387,1.64016152750835,1.23964645351875
"051109A",0.4869,0.5245,0.0376,2.06831540131507,2.34580017853301,0.27748477721794,0.0829352508850679,0,0,0.525031912166543,0.470189506128879,2.3499005348306,1.95249727958313
"051111A",0.4883,0.4065,-0.0818,2.07822244122263,1.54976408779928,-0.528458353423348,-0.207257744334874,0,0,0.497432250910411,0.469076475600031,2.14363598094271,1.94494016729981
"060115A",0.587,0.6561,0.0691,2.86366977054069,3.5300187543224,0.666348983781712,0.147096296929434,0,0,0.633488000668701,0.5519313243945,3.30019352254723,2.56394771756796
