"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"000926A",1.041392685,21.91211094,4.23749913957036,1.53,-10.8535794242724,1.75815840115431,1,0.897068940678609,1.94468,-5.853871964,1.08449872437151,480.140605846868,17.9563989578595,2.3409,117.800186318989,3.09112096354949,1,0.804732684330242,3.7817803024,34.2678169709052,0.131947893472792,0.806756809277167,0.596996170750336,0.292936211616196,0.211501642991175,0.0668145357246291,0.17,0.0579059309278577,"000926A",2.04,0.482873583608754
"011211A",-0.096910013,21.96198081,4.27711533221651,0.9,-11.1197132856888,1.69091674537953,2.00518051250378,0.862656274137229,1.82831,-4.853871964,0.00939155061966017,482.328601098808,18.2937155650816,0.81,123.648023555924,2.85919943980491,4.02074888772492,0.744175847308326,3.3427174561,23.5600730429052,0.145589617977987,0.81021023551645,0.594264436773028,0.300609156346064,0.20444685785726,0.0510934685037089,0.139393939,0.065802194705171,"011211A",2.14,0.496929648073215
"020124A",0.342422681,21.20847898,4.0031773974993,1.78,-10.8612354636977,1.67742731448473,1.68124123737559,0.913953368684594,2.28823,-5.548213564,0.117253292463228,449.799580645102,16.0254292758493,3.1684,117.966435797886,2.81376239537947,2.8265720982522,0.835310760129917,5.2359965329,30.7826737517536,0.0991498518293477,0.795057747814627,0.607557132488903,0.294807201093904,0.218614018289814,0.0219340647449938,0.036363636,0.0877362588943192,"020124A",3.198,0.623042434246382
"021004A",-0.420216403,21.51035195,4.34876045948434,2.1,-10.8821151665748,1.38042366840006,2.27737997466725,0.874453048844571,2.11482,-6.336299075,0.176581825350258,462.695241012869,18.9117175339745,4.41,118.420430498598,1.90556950427908,5.18645954901543,0.764668134633566,4.4724636324,40.1486859678459,0.133629071354847,0.801493294569613,0.604160238291539,0.282992347811121,0.205179875229975,0.0868588963917867,0.254545455,0.144764827428965,"021004A",2.34,0.523746466811564
"030226A",0.688419822,20.92054437,4.18811005594613,1.65,-10.9827775234375,1.75250278081724,1.16996817399689,0.868538013137742,1.76412,-5.602059991,0.473921851322512,437.669176737139,17.5402658407171,2.7225,120.621402129324,3.07126599677215,1.36882552816562,0.754358280265257,3.1121193744,31.3830761427629,0.0745819195311915,0.824662080037556,0.607878219976453,0.289700961220609,0.207493700362316,0.0361912068292397,0.36969697,0.0904780170030954,"030226A",1.99,0.47567118832443
"030329A",1.06069784,20.96124782,4.39246790915553,2.32,-10.410352392542,1.44650019871422,2,0.86563859168501,1.89544,-5.022276395,1.12507990778067,439.373910171455,19.2937743329611,5.3824,108.375436936906,2.09236282488029,4,0.749330171414408,3.5926927936,25.2232601877742,0.0376155997043379,0.790372914729232,0.609055143449182,0.28621446120305,0.213061780272722,0.0668145357246291,0.17,0.0579059309278577,"030329A",0.17,0.0681858617461616
"050315A",0.285557309,21.91683806,4.86356,2.11,-11.3757179,1.10818,1.9804578922761,0.856,1.99544,-5.492144128,0.0815429767233215,480.347790548265,23.6542158736,4.4521,129.40695774038,1.2280629124,3.92221346307869,0.732736,3.9817807936,30.1636471227249,0.0636907468358741,0.03245,0.04512,0.049165,0.001,0.0119343109944412,0.054545455,0.0300030729412981,"050315A",1.949,0.469674772551798
"050318A",0.499687083,20.92661714,4.132084541,1.9,-11.15490196,1.874408221,1.50514997831991,0.95,1.98053,-5.966576245,0.249687180917049,437.923304924142,17.0741226539712,3.61,124.431837737212,3.51340617895238,2.26547645723641,0.9025,3.9224990809,35.6000320873983,0.148833498099688,0.06181969,0.043780336,0.085906519,0.037,0.0187658109674778,0.060606061,0.0166587833050111,"050318A",1.44,0.387389826338729
"050319A",0.181843588,20.93735437,3.73997,2.02,-10.70553377,0.863159,2.1832698436828,0.971,2.01045,-5.882728704,0.0330670904967137,438.372808014958,13.9873756009,4.0804,114.60845330061,0.745043459281,4.76666721033474,0.942841,4.0419092025,34.6064970048655,0.0311991209239902,0.04165,0.06193,0.034558,0.009,0.0297365640854658,0.115151515,0.0363643704117435,"050319A",3.24,0.627365856592733
"050401A",1.029383778,22.12570242,3.12435,1.4,-9.653647026,0.984108,1.52244423350632,0.9995,1.78711,-5.085128182,1.05963096240955,489.546707578394,9.7615629225,1.96,93.1929009025986,0.968468555664,2.31783644413664,0.99900025,3.1937621521,25.8585286273706,0.00815583517918357,0.019455,0.02833,0.0260615,0.0174145,0.0097982829257281,0.042424242,0.0226310350249442,"050401A",2.9,0.591064607026499
