"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4017,0.4829,0.0812,1.52173821564492,2.04018491662944,0.518446700984518,0.170531304904737,0,0,0.432576578998502,0.380752452751432,1.70755058330688,1.40299270707917
"011211A",0.6156,0.4969,-0.1187,3.12667246322936,2.13978564827282,-0.986886814956542,-0.314316620785697,0,0,0.659378413213944,0.558774332198377,3.56434447135412,2.62054818852743
"030329A",0.2041,0.0682,-0.1359,0.599926382868599,0.170038089423047,-0.429888293445551,-0.367413930650353,0,0,0.228247769378112,0.184635157960226,0.691405620384722,0.529801766088097
"050315A",0.3192,0.4697,0.1505,1.08545104769317,1.94917130750827,0.863720259815106,0.292868799318699,0,0,0.368074545847107,0.28990172719537,1.33385863043259,0.949403435922507
"050318A",0.3966,0.3874,-0.00919999999999999,1.49229817805262,1.44005715942821,-0.0522410186244144,-0.0214097519898494,0,0,0.42152623070702,0.361380451668075,1.63952774089596,1.2981610069299
"050401A",0.373,0.5911,0.2181,1.36047823318058,2.90031784475066,1.53983961157008,0.394798494087479,0,0,0.431409079605771,0.329308424759734,1.70028173991356,1.13456028475194
"050416A",0.2277,0.2182,-0.00950000000000001,0.689273619638028,0.65272272994873,-0.0365508896892981,-0.0221155606000723,0,0,0.269688741418726,0.166418316482403,0.860753058110158,0.466960150326403
"050502A",0.5003,0.6803,0.18,2.16446283883552,3.78960832497788,1.62514548614236,0.339306551992404,0,0,0.530962734475028,0.473712948367856,2.39596131600552,1.97654839726781
"050502B",0.4839,0.6806,0.1967,2.04719326666311,3.79291801219085,1.74572474552774,0.364230045472814,0,0,0.530816596442481,0.454806557430106,2.39481878337481,1.84974865548756
"050505A",0.5641,0.7218,0.1577,2.66521959732342,4.26987118996723,1.60465159264381,0.304495410760465,0,0,0.581010608453577,0.547043414936388,2.81075131751671,2.52406098115974
"050525A",0.4338,0.2068,-0.227,1.71518859032727,0.609904076215706,-1.10528451411156,-0.686553025388741,0,0,0.461110924726997,0.404518949557915,1.89141829568306,1.53815973099401
"050730A",0.4409,0.6961,0.2552,1.75994228285426,3.96706679223423,2.20712450937996,0.444351687162874,0,0,0.474689172660684,0.40686069130771,1.98324672590443,1.55188260367679
"050801A",0.4115,0.4082,-0.00329999999999997,1.57928896442749,1.559764430599,-0.0195245338284877,-0.00762747290144933,0,0,0.439255204523682,0.382603332701875,1.74950937303549,1.41325565585038
"050802A",0.3881,0.433,0.0449,1.44399323814968,1.71019163189084,0.26619839374116,0.0982212440658445,0,0,0.408240582284608,0.365070964270393,1.56000363682121,1.3177733461389
"050820A",0.3955,0.5581,0.1626,1.48599356422823,2.61493089917358,1.12893733494535,0.312298455055791,0,0,0.412199745891232,0.369101200746285,1.5834481276643,1.33938230580477
"050824A",0.2099,0.2619,0.052,0.621436704773605,0.82767932897041,0.206242624196805,0.112843987962039,0,0,0.267415494730174,0.121927543393636,0.851038682990848,0.324120603791866
"050904A",0.622,0.8627,0.2407,3.18793565117918,6.28953792855699,3.10160227737781,0.425486815183056,0,0,0.695081137106534,0.58351254811716,3.95542761979306,2.83276814298259
"050922C",0.3931,0.5049,0.1118,1.47229334606234,2.19815862166661,0.725865275604269,0.226963500398867,0,0,0.42424639195468,0.370834055936852,1.65611204906249,1.34873519688343
"051016B",0.3349,0.287,-0.0479,1.16222059671188,0.936421963946607,-0.225798632765271,-0.116606110119239,0,0,0.365668322041251,0.304780509153826,1.32096356063254,1.01734654641516
"051028A",0.4318,0.6628,0.231,1.70271343194282,3.60044666393478,1.89773323199196,0.412510647470223,0,0,0.47331447111289,0.405616328044857,1.97381858393472,1.54458128123959
"051109A",0.4159,0.5245,0.1086,1.60555353004997,2.34580017853301,0.740246648483041,0.221246520707524,0,0,0.430077372304355,0.394759661574933,1.692014360565,1.48175932040365
"051111A",0.2878,0.4065,0.1187,0.939992272390983,1.54976408779928,0.609771815408299,0.239148326829953,0,0,0.315644384619196,0.271709704864996,1.06844693908855,0.869432139520031
"060115A",0.5601,0.6561,0.096,2.63161666207505,3.5300187543224,0.898402092247352,0.198321936612321,0,0,0.599771813968015,0.513595936932095,2.97898052919296,2.26284119558282
"060124A",0.289,0.518,0.229,0.945360081622663,2.29609712177458,1.35073704015191,0.409798919828156,0,0,0.316152450223728,0.265921137778356,1.07086815726488,0.84468041882568
"060206A",0.5644,0.7031,0.1387,2.66775231599495,4.04777513500947,1.38002281901452,0.2733922930606,0,0,0.596203894132723,0.516800727997815,2.94642536784704,2.28700774961835
"060223A",0.7235,0.7332,0.00969999999999993,4.29053997209582,4.41003406863468,0.119494096538858,0.0220874942787587,0,0,0.756382826041245,0.670927041596845,4.70667087701146,3.68734631425833
"060418A",0.4087,0.396,-0.0127,1.56271316541123,1.48885731828239,-0.0738558471288435,-0.0296746007038334,0,0,0.428214839431947,0.393130951495148,1.68049399994706,1.47246954885913
"060502A",0.4329,0.3984,-0.0345,1.70956765904605,1.50264932573108,-0.206918333314974,-0.0826797151272995,0,0,0.449875932048585,0.404682126925832,1.81757789903534,1.53911357236043
"060510B",0.5569,0.7709,0.214,2.60495626278838,4.90065196995666,2.29569570716829,0.389057975094428,0,0,0.609550108373195,0.511923089366269,3.06958485479449,2.25029731707467
"060512A",0.4033,0.1584,-0.2449,1.53104577719744,0.44012437117557,-1.09092140602187,-0.757518883685963,0,0,0.426329586196528,0.371613497438608,1.66888331241906,1.35295432827158
"060604A",0.5331,0.4963,-0.0368,2.41271483238687,2.13545086914429,-0.277263963242575,-0.0884287379435942,0,0,0.561173606036881,0.518543369217527,2.64060537575971,2.30022362732068
"060605A",0.5752,0.6794,0.1042,2.76010523668496,3.7796929697961,1.01958773311114,0.21331657484155,0,0,0.627628183188686,0.548498988567901,3.24256185791233,2.53589197622549
"060607A",0.4951,0.6101,0.115,2.12679925637611,3.0747409137987,0.947941657422592,0.232638510638181,0,0,0.52641869206172,0.471590086055126,2.36061446255145,1.9620343188452
"060707A",0.4526,0.6459,0.1933,1.83530641176069,3.42486474355665,1.58955833179596,0.359233202350564,0,0,0.482188902951698,0.415422470021121,2.03521110807871,1.60269015928195
"060708A",0.3847,0.4654,0.0807,1.42493443103347,1.92011530139416,0.495180870360684,0.169575793847684,0,0,0.420505405432751,0.347635395636458,1.63333071914037,1.22656509047463
"060714A",0.5215,0.5695,0.048,2.32276785211076,2.71107729492926,0.388309442818502,0.104635234450406,0,0,0.536191207823775,0.504567147919218,2.43709240244989,2.19570842722945
"060729A",0.2826,0.1875,-0.0951,0.916902395011128,0.539926526059492,-0.376975868951636,-0.244801204844674,0,0,0.322492785957261,0.254915407809348,1.10132286379355,0.798520563883768
"060814A",0.4621,0.4658,0.00369999999999998,1.89801080252975,1.92280606593193,0.0247952634021762,0.00848337619494788,0,0,0.491929035858366,0.43552698973265,2.10405234150918,1.72600714452996
"060906A",0.625,0.6708,0.0458,3.21696503428582,3.68597535308626,0.469010318800437,0.100088089129948,0,0,0.663004509373909,0.585019630117571,3.60261352550111,2.84609165992965
"060908A",0.5556,0.4599,-0.0957,2.59418146314715,1.88336750678026,-0.710813956366885,-0.246522149776399,0,0,0.578727870896182,0.52394798466042,2.79077380494919,2.34155015968098
"060912A",0.3815,0.2871,-0.0944,1.40713251905017,0.9368678929189,-0.470264626131268,-0.242796438440915,0,0,0.424177899731186,0.341116520760253,1.65569318885827,1.19339334157719
"060926A",0.536,0.6232,0.0872,2.43557947899875,3.19952334664066,0.763943867641911,0.181912042054253,0,0,0.604329004340822,0.448125293039213,3.02095307015338,1.80624311638173
"060927A",0.6526,0.8109,0.1583,3.49365783054086,5.46993622808681,1.97627839754595,0.305455622416598,0,0,0.684666298490028,0.625730041406431,3.8380048398927,3.22405963982483
"061007A",0.3998,0.3541,-0.0457,1.51072993137352,1.25995608443438,-0.250773846939143,-0.110964035392709,0,0,0.42799553104132,0.371535237471049,1.67914075589648,1.35253036354985
"061021A",0.39,0.1291,-0.2609,1.45470891568503,0.346170285535609,-1.10853863014942,-0.82347578316094,0,0,0.416022113141238,0.359500123211936,1.60628625191236,1.28823236076009
"061110A",0.4821,0.245,-0.2371,2.0345898438888,0.757923613958693,-1.27666622993011,-0.7262353266051,0,0,0.543509991560936,0.389882606221346,2.49550551412634,1.45404547503944
"061121A",0.3435,0.3644,0.0209,1.20546413639275,1.31419526151125,0.108731125118503,0.046984421291874,0,0,0.360106643878344,0.315097072937176,1.2914302595231,1.06584185849165
"061126A",0.4991,0.3342,-0.1649,2.15573117368002,1.15873831601281,-0.996992857667208,-0.461840534478793,0,0,0.532580972617746,0.474839284012795,2.40863871698327,1.98427804594264
"061222A",0.5087,0.4897,-0.019,2.22626472707567,2.08816146918451,-0.13810325789116,-0.0447202192208001,0,0,0.545826948290809,0.460386808391701,2.51420383451156,1.88660133667655
"070110A",0.4699,0.5253,0.0554,1.95052976385827,2.35196905022163,0.401439286363357,0.119762229408656,0,0,0.492808713194601,0.449460584426049,2.11034607053425,1.81488453105747
"070125A",0.3694,0.4065,0.0371,1.3409923796904,1.54976408779928,0.208771708108886,0.0818788330684656,0,0,0.41994900917126,0.341089592448498,1.62995918835982,1.19325734503322
"070208A",0.5233,0.3355,-0.1878,2.33656815138526,1.16520987930793,-1.17135827207733,-0.540990637107077,0,0,0.546825315374009,0.500323140399823,2.52229166740979,2.1646314545773
"070223A",0.516,0.4199,-0.0961,2.28095293113119,1.62966242003022,-0.651290511100967,-0.247670767981497,0,0,0.53352571964041,0.496455080955492,2.41606180572312,2.13657069811716
"070306A",0.5262,0.3972,-0.129,2.35892262734495,1.49574379483157,-0.863178832513383,-0.345860354055948,0,0,0.581334829585714,0.489830196072765,2.81359728370266,2.08908740028747
"070411A",0.617,0.5966,-0.0204,3.1399967481973,2.95002641597884,-0.189970332218467,-0.0480934333628732,0,0,0.631977823409617,0.602299837136396,3.2852663777459,3.00220967163888
"070508A",0.4483,0.2601,-0.1882,1.80737223234365,0.820119908460103,-0.987252323883545,-0.542410595749596,0,0,0.463372478236793,0.420279571586899,1.9065143951526,1.63196173879632
"070521A",0.5759,0.4895,-0.0864,2.76617069714167,2.08673964568386,-0.679431051457808,-0.220112847031931,0,0,0.591597091579003,0.563095925858412,2.90478468750382,2.65675552177785
"070612A",0.3544,0.223,-0.1314,1.26151774610836,0.671090614310708,-0.590427131797655,-0.353318441705924,0,0,0.390227984016421,0.3293012268217,1.45599785979448,1.1345249071315
"070721B",0.5277,0.6652,0.1375,2.37054399293483,3.6259400476616,1.25539605472677,0.271381825486772,0,0,0.57041614374084,0.489903519063601,2.71891407140717,2.08960898243513
"071003A",0.3812,0.4157,0.0345,1.4054703049881,1.60435390455169,0.198883599563594,0.0763658115803696,0,0,0.408348011229192,0.351294562185766,1.5606369686225,1.24540436303261
"071010B",0.3739,0.2894,-0.0845,1.36537498705761,0.9471526498539,-0.418222337203705,-0.214786620471223,0,0,0.38917345488427,0.341999096760612,1.45004157991257,1.19785530171237
"071020A",0.3237,0.4976,0.1739,1.10717206418198,2.14485046547696,1.03767840129498,0.329961126192244,0,0,0.359948510533006,0.292145353427624,1.29059606616641,0.959500386280927
"071025A",0.6069,0.7782,0.1713,3.0448274538,5.00067353864116,1.95584608484117,0.325937758860994,0,0,0.626567446551533,0.585042935447526,3.23221231473114,2.84629805638173
"071112C",0.318,0.2601,-0.0579,1.0796966871037,0.820119908460103,-0.259576778643592,-0.14261520762289,0,0,0.35006933031418,0.298632198485492,1.23907855418356,0.988988162797881
"071117A",0.4783,0.3675,-0.1108,2.00815354394421,1.33077311528264,-0.677380428661577,-0.290624782060538,0,0,0.514521225224382,0.402556040815802,2.26980026901142,1.52671373307096
"080310A",0.4619,0.534,0.0721,1.8966765264871,2.41979442513709,0.52311789864999,0.152967644722978,0,0,0.48646702899824,0.43753433147475,2.06525796069169,1.7386361180202
"080319B",0.279,0.2871,0.0081,0.9010782799233,0.9368678929189,0.0357896129956001,0.0184780867742427,0,0,0.339959532955569,0.213350749754033,1.18755778041482,0.63437138426244
"080319C",0.345,0.4698,0.1248,1.21309470960564,1.94985045748424,0.736755747878602,0.249760372092536,0,0,0.377561588004238,0.314373665728579,1.38540204921044,1.06240363629022
"080330A",0.4269,0.3997,-0.0272,1.6723909970469,1.51015188099533,-0.162239116051574,-0.0646331870513121,0,0,0.452060655235565,0.409506345049376,1.83178746649736,1.56747571869372
"080411A",0.2186,0.3075,0.0889,0.654245645057731,1.03001851985968,0.375772874801953,0.185108101786149,0,0,0.240544687367198,0.192717283344044,0.739981726797235,0.558537597029617
"080430A",0.3616,0.2472,-0.1144,1.29932308702122,0.766851298453881,-0.532471788567342,-0.301367630107464,0,0,0.387699123282129,0.338963408408148,1.44173834431183,1.18254601312735
"080516A",0.4664,0.6232,0.1568,1.92684686237879,3.19952334664066,1.27267648426187,0.30305260364368,0,0,0.498699052157842,0.435584464296337,2.15281909496029,1.72636792838858
