"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3936,0.4829,0.0893,1.47514131807431,2.04018491662944,0.565043598555129,0.185858299429225,0,0,0.41901331840538,0.376847361551608,1.62429902090312,1.38148231929545
"011211A",0.4594,0.4969,0.0375,1.88004981744286,2.13978564827282,0.259735830829964,0.0827240646102206,0,0,0.476000159244951,0.448633331494494,1.99226573379718,1.80952778538823
"030329A",0.2777,0.0682,-0.2095,0.895396175599343,0.170038089423047,-0.725358086176296,-0.619943993903629,0,0,0.302115399122846,0.260916263054095,1.00500471902504,0.823544068257335
"050315A",0.3808,0.4697,0.0889,1.40325580493324,1.94917130750827,0.545915502575031,0.185108101786149,0,0,0.412503929700371,0.359582605672391,1.5852582320866,1.28866698972072
"050318A",0.4172,0.3874,-0.0298,1.61336457618902,1.44005715942821,-0.173307416760817,-0.0710259659660714,0,0,0.456375994088253,0.395032480256511,1.86006559758697,1.48331882217571
"050319A",0.4248,0.6274,0.2026,1.65950003272152,3.24033335385019,1.58083332112867,0.372808736769076,0,0,0.44167162506373,0.410341053131935,1.76485032048866,1.57241511728422
"050401A",0.417,0.5911,0.1741,1.61216135439921,2.90031784475066,1.28815649035145,0.330269619458104,0,0,0.436872585997589,0.4015510625215,1.73446636654352,1.52087355594252
"050416A",0.2804,0.2182,-0.0622,0.907216520593906,0.65272272994873,-0.254493790645176,-0.153984565005087,0,0,0.326841382143014,0.222592505600241,1.12246912865879,0.669523381186901
"050502A",0.492,0.6803,0.1883,2.10455958812836,3.78960832497788,1.68504873684953,0.351813472525921,0,0,0.524645267732281,0.455954083346802,2.34691950682629,1.85728843486701
"050502B",0.5146,0.6806,0.166,2.27039341756639,3.79291801219085,1.52252459462446,0.31766130585833,0,0,0.542978099774385,0.47714900651422,2.49122709777356,2.00019170873047
"050505A",0.5978,0.7218,0.124,2.96095583490634,4.26987118996723,1.3089153550609,0.248377105981795,0,0,0.629569702527526,0.573342696128104,3.26157074600596,2.74405910574495
"050525A",0.3036,0.2068,-0.0968,1.01187039514943,0.609904076215706,-0.401966318933727,-0.249683397211219,0,0,0.325794447039919,0.274463165000347,1.11735874541905,0.881322133757929
"050603A",0.3245,0.5821,0.2576,1.11105719580854,2.82032226884411,1.70926507303556,0.447413844369922,0,0,0.343288224480578,0.307200737661619,1.20438894554022,1.02862016263283
"050730A",0.4474,0.6961,0.2487,1.80156046425689,3.96706679223423,2.16550632797733,0.435972862568106,0,0,0.463596565411349,0.420461272220574,1.90801448480774,1.63306313241438
"050801A",0.397,0.4082,0.0112,1.49459472694295,1.559764430599,0.0651697036560432,0.0254592582336935,0,0,0.416925274482983,0.373870689773764,1.61171193971857,1.36521535496593
"050802A",0.434,0.433,-0.001,1.71643926883908,1.71019163189084,-0.0062476369482396,-0.00230523807789959,0,0,0.462934660560253,0.414699008023547,1.90358577822453,1.59835812184469
"050820A",0.4413,0.5581,0.1168,1.76248545463158,2.61493089917358,0.852445444542,0.235812376036532,0,0,0.470433097973473,0.404688580577383,1.95415377310024,1.5391513040763
"050824A",0.2101,0.2619,0.0518,0.622183575930974,0.82767932897041,0.205495753039436,0.112435343433685,0,0,0.261099219588746,0.149448848836397,0.824312439953945,0.410746069132159
"050904A",0.7155,0.863,0.1475,4.19397673507008,6.29457510254569,2.10059836747561,0.287967200000797,0,0,0.746847844639538,0.681574040295996,4.58274568603697,3.80367968351213
"050922C",0.3731,0.5049,0.1318,1.36102181595966,2.19815862166661,0.837136805706946,0.261755874156955,0,0,0.394366367486257,0.353027825860822,1.47951287360986,1.25438364906957
"051016B",0.3703,0.287,-0.0833,1.34584871064495,0.936421963946607,-0.409426746698342,-0.211434674012834,0,0,0.391267706783581,0.354975853483705,1.46188468569215,1.26451839820944
"051109A",0.5137,0.5245,0.0107999999999999,2.26362311191317,2.34580017853301,0.08217706661984,0.0245612595597001,0,0,0.539676548321049,0.490504975368223,2.46478705651624,2.09389075950687
"051111A",0.4851,0.4065,-0.0786,2.05562461578769,1.54976408779928,-0.505860527988406,-0.198395032077268,0,0,0.501794948314987,0.469143943803066,2.17537446692887,1.94539770305854
"060115A",0.6234,0.6561,0.0327000000000001,3.20145774398905,3.5300187543224,0.328561010333352,0.0725297240811308,0,0,0.641175428833452,0.607989929901339,3.37698873456724,3.0549913292593
"060124A",0.4133,0.518,0.1047,1.59000140694793,2.29609712177458,0.706095714826644,0.214221756440991,0,0,0.466628926765488,0.381840831628219,1.92839007842094,1.40902236326238
"060206A",0.556,0.7031,0.1471,2.59749335155742,4.04777513500947,1.45028178345205,0.287311091453627,0,0,0.580594076321261,0.508283920455639,2.80709817548755,2.22317525673192
"060210A",0.564,0.6911,0.1271,2.66437574647833,3.91020924883086,1.24583350235253,0.253723097981856,0,0,0.613283071088978,0.525040846358685,3.10471559234451,2.34996944881437
"060223A",0.7087,0.7332,0.0245,4.11328500301964,4.41003406863468,0.296749065615033,0.0548516075592705,0,0,0.745561187270987,0.673619783207772,4.56623050742374,3.71649939653483
"060306A",0.3997,0.4081,0.00840000000000002,1.51015188099533,1.55917509090989,0.0490232099145631,0.0191558639690938,0,0,0.41820198403869,0.390194319039244,1.61940097021247,1.45580748687737
"060502A",0.4961,0.3984,-0.0977,2.13400727308386,1.50264932573108,-0.63135794735278,-0.252275834597141,0,0,0.514483382667646,0.480276256778855,2.269515365066,2.0218733371184
"060510B",0.6074,0.7709,0.1635,3.04948691518634,4.90065196995666,1.85116505477032,0.313722121588527,0,0,0.646993034596688,0.59284403985384,3.43601529200604,2.91601223348389
"060512A",0.3819,0.1584,-0.2235,1.4093505913355,0.44012437117557,-0.969226220159925,-0.673015636398645,0,0,0.425444913848733,0.358222447973489,1.66345224159139,1.28151037467547
"060526A",0.55,0.6254,0.0753999999999999,2.54813389233576,3.22085079179884,0.67271689946309,0.159379455149229,0,0,0.577256917950365,0.535642557144218,2.77795619442285,2.43275301407173
"060614A",0.3136,0.0512,-0.2624,1.05873287673353,0.125122992965767,-0.93360988376776,-0.829784734295414,0,0,0.346830979292124,0.268678089888126,1.22244478111917,0.856427913421986
"060707A",0.5666,0.6459,0.0793,2.68637914097397,3.42486474355665,0.738485602582676,0.16689450308239,0,0,0.580264084844275,0.54259666184829,2.80420651365442,2.48816212263637
"060708A",0.4754,0.4654,-0.01,1.98813352456844,1.92011530139416,-0.0680182231742861,-0.0232929922807541,0,0,0.483875538184514,0.465461022773637,2.04702163708148,1.920525635999
"060714A",0.5812,0.5695,-0.0117,2.81241351104299,2.71107729492926,-0.101336216113733,-0.0273064148386768,0,0,0.597080291214978,0.571311450056529,2.95439721160145,2.72658859120224
"060729A",0.2979,0.1875,-0.1104,0.985637654748697,0.539926526059492,-0.445711128689205,-0.289436619959871,0,0,0.320824880159646,0.277938079819164,1.09326822059558,0.896435514824415
"060906A",0.6601,0.6708,0.0106999999999999,3.57193450178139,3.68597535308626,0.114040851304867,0.0243366306290445,0,0,0.693408553874389,0.638859042136419,3.93637965668749,3.3537054363302
"060908A",0.5227,0.4599,-0.0628000000000001,2.33196169489308,1.88336750678026,-0.448594188112821,-0.155579955402129,0,0,0.550930900495936,0.509058986538726,2.55574739464436,2.22893265048707
"060912A",0.3537,0.2871,-0.0666,1.25787554622837,0.9368678929189,-0.321007653309468,-0.16573544044127,0,0,0.4011374759647,0.322396287468214,1.51847402481356,1.10085601016397
"060926A",0.5963,0.6232,0.0268999999999999,2.94729877659786,3.19952334664066,0.252224570042801,0.060060285233219,0,0,0.649512713773765,0.494725893871931,3.46182686185325,2.12410695625146
"060927A",0.6665,0.8109,0.1444,3.63980789982126,5.46993622808681,1.83012832826556,0.282866517342279,0,0,0.690934864410857,0.635450957972651,3.90834255194179,3.3196738562025
"061007A",0.4176,0.3541,-0.0635,1.61577268271911,1.25995608443438,-0.355816598284732,-0.157444032092237,0,0,0.431712429645934,0.401622010053291,1.702168516633,1.52128540636589
