"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3994,0.4829,0.0835,1.50841852825238,2.04018491662944,0.531766388377058,0.174912514521193,0,0,0.422870231080924,0.377043058182684,1.64770887445029,1.38255567644038
"011211A",0.436,0.4969,0.0609,1.72897778280804,2.13978564827282,0.410807865464779,0.130839462143144,0,0,0.486448898633942,0.39479242739807,2.06512999893808,1.48194656651878
"030329A",0.2829,0.0682,-0.2147,0.91822700172525,0.170038089423047,-0.748188912302203,-0.639456885263573,0,0,0.30776306816855,0.258023633912461,1.03124854936932,0.811438666789448
"050315A",0.4201,0.4697,0.0496,1.63087370321467,1.94917130750827,0.318297604293605,0.107927811274731,0,0,0.483383013674888,0.39412725897413,2.0435680307234,1.47814810965269
"050318A",0.4321,0.3874,-0.0447,1.70458104521703,1.44005715942821,-0.264523885788824,-0.108408889015867,0,0,0.468857846880541,0.407464737871338,1.94345802444172,1.555434406567
"050319A",0.4224,0.6274,0.205,1.64484362685436,3.24033335385019,1.59548972699583,0.376265164517581,0,0,0.453586805116595,0.397477971739783,1.84175612754591,1.49734171591595
"050401A",0.4195,0.5911,0.1716,1.62724152646886,2.90031784475066,1.2730763182818,0.326403223777057,0,0,0.435592580380486,0.39116819273414,1.72641887915864,1.46132063512741
"050416A",0.2689,0.2182,-0.0507,0.857376729052969,0.65272272994873,-0.204653999104239,-0.123828392624931,0,0,0.314333062454994,0.23773997508533,1.06221082604705,0.728780977132356
"050502A",0.4953,0.6803,0.185,2.12823953225774,3.78960832497788,1.66136879272014,0.346869447352528,0,0,0.521896938768412,0.478046449643605,2.32580620134466,2.00639783247967
"050502B",0.5063,0.6806,0.1743,2.20848490203595,3.79291801219085,1.5844331101549,0.330577970690271,0,0,0.519732292530089,0.494935871232805,2.30927068789286,2.12561779824838
"050505A",0.5889,0.7218,0.1329,2.8806100135487,4.26987118996723,1.38926117641853,0.263623365038486,0,0,0.613895460677348,0.564472270178354,3.11050764883506,2.66836271097151
"050525A",0.3096,0.2068,-0.1028,1.03985830026856,0.609904076215706,-0.429954224052856,-0.267068224998548,0,0,0.339314811542252,0.275284042788201,1.18431270349464,0.884881460532141
"050603A",0.3291,0.5821,0.253,1.13353612143882,2.82032226884411,1.68678614740529,0.441529805263169,0,0,0.345605104530628,0.316074942864714,1.21618037394003,1.07049860801522
"050801A",0.4027,0.4082,0.0055,1.52755142260212,1.559764430599,0.0322130079968748,0.0125843642531343,0,0,0.409733628160601,0.382181283257739,1.5688197297642,1.41091158169605
"050802A",0.445,0.433,-0.012,1.78612116862977,1.71019163189084,-0.0759295367389274,-0.0280162981264734,0,0,0.469957903967182,0.428275447287032,1.95092318071177,1.68086810170327
"050820A",0.4477,0.5581,0.1104,1.80349638223093,2.61493089917358,0.811434516942647,0.224467504241409,0,0,0.474730861601253,0.41284299610686,1.9835331084629,1.58727740692712
"050824A",0.2519,0.2619,0.01,0.786076268241424,0.82767932897041,0.0416030607289857,0.0227627790441893,0,0,0.318194905665192,0.212543472732122,1.08063023715645,0.631336197261907
"050904A",0.7121,0.863,0.1509,4.15347294020903,6.29457510254569,2.14110216233665,0.293519791384346,0,0,0.759483960399913,0.66440835291285,4.747565912304,3.61751540394381
"050922C",0.3656,0.5049,0.1393,1.32059846159892,2.19815862166661,0.877560160067686,0.274395445592494,0,0,0.383635217925387,0.350135612793095,1.4189963771018,1.23942031077774
"051016B",0.3758,0.287,-0.0888,1.37574596321901,0.936421963946607,-0.439323999272403,-0.22687410463834,0,0,0.400097013486741,0.333496171437867,1.51244760391864,1.15524264374671
"051109A",0.5255,0.5245,-0.001,2.35351304450561,2.34580017853301,-0.00771286597259779,-0.00230523807789967,0,0,0.567021325235449,0.494830248237535,2.68995716984454,2.12485772188251
"051111A",0.4849,0.4065,-0.0784,2.05421777261214,1.54976408779928,-0.504453684812862,-0.197843277825855,0,0,0.507142883905932,0.464198733385879,2.21471801446198,1.91204936856379
"060115A",0.5976,0.6561,0.0585,2.95913216728166,3.5300187543224,0.570886587040742,0.126023007409411,0,0,0.619970180146683,0.575478493259613,3.16840761054849,2.76251719407457
"060124A",0.4338,0.518,0.0842,1.71518859032727,2.29609712177458,0.580908531447312,0.176241327238124,0,0,0.457326991930303,0.401697523701185,1.86633529815355,1.52172383701519
"060206A",0.5565,0.7031,0.1466,2.60163750394728,4.04777513500947,1.4461376310622,0.286490105518435,0,0,0.584242767280593,0.534893127076398,2.83921794856296,2.42683447255916
"060210A",0.5488,0.6911,0.1423,2.53834356814722,3.91020924883086,1.37186568068364,0.279390472210585,0,0,0.590174483913393,0.51888081942366,2.89201480753399,2.30278892336642
"060223A",0.6835,0.7332,0.0497,3.8250298005971,4.41003406863468,0.585004268037578,0.10813319484053,0,0,0.722495919898456,0.641481544986674,4.27832247889913,3.3800749797977
"060306A",0.388,0.4081,0.0201,1.44343055269397,1.55917509090989,0.115744538215921,0.0452272838333892,0,0,0.410625146851476,0.373651635759512,1.57409841304353,1.36402266360842
"060502A",0.4978,0.3984,-0.0994,2.14629905616199,1.50264932573108,-0.643649730430913,-0.257187342954206,0,0,0.521365242145312,0.469593570209762,2.32173698567389,1.94844866137851
"060510B",0.6097,0.7709,0.1612,3.07098966650274,4.90065196995666,1.82966230345392,0.310077990155953,0,0,0.662942907326395,0.580143690221905,3.60196071888875,2.80315206201475
"060512A",0.3785,0.1584,-0.2201,1.39056193534463,0.44012437117557,-0.950437564169061,-0.6599690854431,0,0,0.419016772371646,0.350598769809567,1.62431989217069,1.24180983340982
"060526A",0.4829,0.6254,0.1425,2.04018491662944,3.22085079179884,1.1806658751694,0.279722248761659,0,0,0.498899201295868,0.452816049226026,2.15427243936633,1.83671724743482
