"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.402,0.4829,0.0809,1.52348077248057,2.04018491662944,0.516704144148867,0.169958130284299,0,0,0.42524651168135,0.37733557761914,1.66223575362446,1.3841609895151
"011211A",0.4257,0.4969,0.0712,1.66501709994676,2.13978564827282,0.474768548326056,0.151210496992756,0,0,0.461819715481733,0.379148221782721,1.89614109075183,1.39413271836357
"030329A",0.2798,0.0682,-0.2116,0.904583422894513,0.170038089423047,-0.734545333471465,-0.627796086393798,0,0,0.312455278740105,0.262344193306431,1.05331357661838,0.829549622684105
"050315A",0.4082,0.4697,0.0615,1.559764430599,1.94917130750827,0.389406876909276,0.132039422707622,0,0,0.43335697948514,0.377224156995462,1.71242025920787,1.38354939843558
"050318A",0.4339,0.3874,-0.0465,1.71581385758833,1.44005715942821,-0.275756698160124,-0.113012392801791,0,0,0.471157832133539,0.408465602084932,1.9590876684794,1.56133038811777
"050319A",0.4168,0.6274,0.2106,1.61095868658593,3.24033335385019,1.62937466726425,0.384256267442935,0,0,0.441983137947129,0.392260509199459,1.7668342173586,1.46751902135824
"050401A",0.4118,0.5911,0.1793,1.58107128964594,2.90031784475066,1.31924655510472,0.33824078129434,0,0,0.431931108284686,0.389144662332186,1.70352947181652,1.44987915415221
"050416A",0.267,0.2182,-0.0488,0.849268618978078,0.65272272994873,-0.196545889029348,-0.118922481955243,0,0,0.297621995323711,0.23280886437956,0.984366996397958,0.709262892623077
"050502A",0.4947,0.6803,0.1856,2.12392069366412,3.78960832497788,1.66568763131377,0.347771157534361,0,0,0.516923717723414,0.481708551530628,2.28793874332571,2.03185586864058
"050502B",0.5128,0.6806,0.1678,2.2568668220167,3.79291801219085,1.53605119017416,0.320483510518475,0,0,0.54371457757964,0.480956644008924,2.49715255329829,2.02661126381735
"050505A",0.6008,0.7218,0.121,2.98841186909053,4.26987118996723,1.28145932087671,0.243167104979026,0,0,0.620054329671165,0.573032208359897,3.1692153654657,2.74138334273422
"050525A",0.3091,0.2068,-0.1023,1.037511177983,0.609904076215706,-0.427607101767298,-0.265610298206366,0,0,0.341758293866196,0.273100965091966,1.19663699652789,0.875430458805645
"050603A",0.3286,0.5821,0.2535,1.13108121063594,2.82032226884411,1.68924105820817,0.442172397858799,0,0,0.35490606586641,0.304037585583923,1.26415453761923,1.01389853316592
"050730A",0.4319,0.6961,0.2642,1.70333582636177,3.96706679223423,2.26373096587245,0.455748042166795,0,0,0.453154894819411,0.396584037158412,1.8389313769121,1.49220657332006
"050801A",0.4081,0.4082,9.9999999999989e-05,1.55917509090989,1.559764430599,0.000589339689104573,0.000230232001843492,0,0,0.419058481636789,0.388271368783079,1.62457194167875,1.44495780667994
"050802A",0.438,0.433,-0.005,1.74157417192788,1.71019163189084,-0.0313825400370398,-0.0115794542598985,0,0,0.470324038312215,0.412129895061025,1.9534120216529,1.58303264579021
"050820A",0.4473,0.5581,0.1108,1.80091545538292,2.61493089917358,0.814015443790654,0.22518146722438,0,0,0.466136440978787,0.417973924676402,1.92507119424098,1.61802581552468
"050824A",0.2406,0.2619,0.0213,0.740203348538837,0.82767932897041,0.0874759804315732,0.0478617769785968,0,0,0.30183759141297,0.19084753854029,1.0037225759657,0.551842131631208
"050904A",0.7167,0.863,0.1463,4.20834806874208,6.29457510254569,2.08622703380361,0.285997060072155,0,0,0.756648789719801,0.685960947393176,4.71016673542149,3.85244864035673
