"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4008,0.4829,0.0821,1.51651776161464,2.04018491662944,0.523667155014799,0.172248455069428,0,0,0.422233387871898,0.376940531963002,1.64382915734885,1.38199328017344
"011211A",0.4247,0.4969,0.0722,1.65888773070508,2.13978564827282,0.480897917567737,0.153162658677759,0,0,0.459159306597671,0.380019231160404,1.8784540869888,1.39893914501127
"030329A",0.2806,0.0682,-0.2124,0.908095028528194,0.170038089423047,-0.738056939105146,-0.630797361023594,0,0,0.301945534164554,0.265901678135081,1.00422065783946,0.844597765188134
"050315A",0.3993,0.4697,0.0704,1.50784101003316,1.94917130750827,0.441330297475111,0.149645528000198,0,0,0.43212711212963,0.367566656816305,1.7047498920337,1.33113087676749
"050318A",0.4373,0.3874,-0.0499,1.73715883575059,1.44005715942821,-0.297101676322378,-0.121760129747124,0,0,0.474905075314455,0.415846357124584,1.98473016867925,1.60523171902631
"050319A",0.4195,0.6274,0.2079,1.62724152646886,3.24033335385019,1.61309182738133,0.380416276922345,0,0,0.44520261613345,0.398919016193545,1.78742131133649,1.50564197713136
"050401A",0.4121,0.5911,0.179,1.58285484647637,2.90031784475066,1.31746299827428,0.337783496298238,0,0,0.433741494543166,0.387817250100222,1.71482284161044,1.44240258027041
"050416A",0.2505,0.2182,-0.0323,0.780327908853729,0.65272272994873,-0.127605178904999,-0.0772090663440909,0,0,0.281259525041396,0.216964426673567,0.91099488686791,0.648027395065636
"050502A",0.4917,0.6803,0.1886,2.10241577487209,3.78960832497788,1.6871925501058,0.352261069304364,0,0,0.514798678635621,0.475594614002087,2.27188988131525,1.98947285298389
"050502B",0.5113,0.6806,0.1693,2.24563740620265,3.79291801219085,1.5472806059882,0.322826428921311,0,0,0.543803608541488,0.474546237537304,2.49786954783723,1.98226504044884
"050505A",0.5979,0.7218,0.1239,2.96186798370326,4.26987118996723,1.30800320626397,0.248204018487993,0,0,0.614393521515575,0.573172550091955,3.11522439601811,2.74259256156581
"050525A",0.3003,0.2068,-0.0935,0.996641069497916,0.609904076215706,-0.386736993282211,-0.240223625118888,0,0,0.33701944450302,0.27837183385595,1.17279845857179,0.898330536549538
"050603A",0.3255,0.5821,0.2566,1.11592368524095,2.82032226884411,1.70439858360316,0.446140001722643,0,0,0.348133730485019,0.300608058287148,1.22912144765289,0.998057850169263
"050730A",0.4438,0.6961,0.2523,1.77843345720255,3.96706679223423,2.18863333503168,0.440628931838304,0,0,0.465052029465559,0.408654928353888,1.91777654932238,1.56244721750669
"050801A",0.3981,0.4082,0.0101,1.50092115378012,1.559764430599,0.0588432768188794,0.0229877703258459,0,0,0.408485977965499,0.37832643349567,1.56145056138398,1.38960673422003
"050802A",0.4325,0.433,5e-04,1.70707320392136,1.71019163189084,0.0031184279694858,0.00115063006349486,0,0,0.45714711068093,0.407559059705971,1.86514833117121,1.55598946643477
"050820A",0.4353,0.5581,0.1228,1.72458273325773,2.61493089917358,0.890348165915844,0.246297423311574,0,0,0.455914350127952,0.399908952966574,1.85702703602764,1.51135988593653
"050824A",0.2691,0.2619,-0.00719999999999998,0.858232279629328,0.82767932897041,-0.0305529506589177,-0.0167168004663757,0,0,0.33842953025161,0.22364150986799,1.17986465799746,0.67356085814737
"050904A",0.7101,0.863,0.1529,4.12979488285857,6.29457510254569,2.16478021968711,0.296765773092341,0,0,0.741793175663928,0.68102454660821,4.51814585686759,3.79760564251311
"050922C",0.3491,0.5049,0.1558,1.23408658105638,2.19815862166661,0.964072040610227,0.301445973967306,0,0,0.360324782581317,0.324188652189203,1.29258149491656,1.10954431107493
"051016B",0.3895,0.287,-0.1025,1.45188445380951,0.936421963946607,-0.515462489862907,-0.266193267510944,0,0,0.419432645951442,0.358218200388311,1.62683410330424,1.28148806064049
"051109A",0.5175,0.5245,0.00700000000000001,2.29230453333406,2.34580017853301,0.0534956451989443,0.0159888942388663,0,0,0.531172634811045,0.503379256439869,2.39760302626187,2.18697940110136
"051111A",0.4943,0.4065,-0.0878,2.12104478098578,1.54976408779928,-0.571280693186499,-0.22405237249991,0,0,0.509820340066374,0.481981757262613,2.2345981965119,2.03376374689071
"060115A",0.5972,0.6561,0.0589000000000001,2.95548735055562,3.5300187543224,0.574531403766782,0.12682759938214,0,0,0.603252468291139,0.589624683546738,3.01099821113902,2.88709078165732
"060124A",0.411,0.518,0.107,1.57632115700258,2.29609712177458,0.719775964772003,0.21837219541167,0,0,0.452466832991663,0.38187793922547,1.83443715965757,1.40922820711829
"060206A",0.5442,0.7031,0.1589,2.5010635984652,4.04777513500947,1.54671153654428,0.306414508407252,0,0,0.569752394065576,0.503511224467013,2.71323464702613,2.18794796807225
"060210A",0.5544,0.6911,0.1367,2.58426408043714,3.91020924883086,1.32594516839372,0.270038424270703,0,0,0.586338205244359,0.519186878921183,2.85778664447592,2.30511731166346
"060223A",0.7029,0.7332,0.0303,4.04545108382737,4.41003406863468,0.364582984807304,0.0673901458257014,0,0,0.736633194810172,0.657851299886479,4.45297108516548,3.54832301332758
"060306A",0.3973,0.4081,0.0108,1.49631852724334,1.55917509090989,0.062856563666557,0.0245612595597001,0,0,0.412931042166159,0.384893485712631,1.5878019880175,1.42601502200969
