"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4496,0.4829,0.0333,1.81578829971031,2.04018491662944,0.224396616919132,0.0738101869039972,0,0,0.467972978997688,0.416512955629937,1.93746688249977,1.60923355904846
"011211A",0.493,0.4969,0.00390000000000001,2.11171633710602,2.13978564827282,0.028069311166802,0.00893988135216899,0,0,0.523618599567045,0.470117143722771,2.33901676454664,1.95200537370397
"030329A",0.2518,0.0682,-0.1836,0.785665056326742,0.170038089423047,-0.615626966903695,-0.526159765625463,0,0,0.275131863041511,0.21957102233756,0.884221100924683,0.65794844723935
"050315A",0.4079,0.4697,0.0618,1.55799681855502,1.94917130750827,0.39117448895326,0.132638781598536,0,0,0.418829058400135,0.38474560542816,1.62318583432957,1.42518908768779
"050318A",0.444,0.3874,-0.0566,1.77971326775929,1.44005715942821,-0.339656108331081,-0.139200062186524,0,0,0.464863557429562,0.411617546532102,1.91651058808646,1.57998717156517
"050319A",0.4207,0.6274,0.2067,1.63451090146603,3.24033335385019,1.60582245238415,0.37870193647065,0,0,0.448112645375898,0.394855899756744,1.80616139325885,1.48230933077602
"050401A",0.4053,0.5911,0.1858,1.54272855369,2.90031784475066,1.35758929106066,0.348071450865935,0,0,0.429176157154174,0.363093803092266,1.68643388751246,1.3072454759376
"050416A",0.2428,0.2182,-0.0246,0.749041039966304,0.65272272994873,-0.0963183100175737,-0.0582785655888944,0,0,0.295934075562283,0.201137343240212,0.976669565563449,0.589049197210218
"050502A",0.5263,0.6803,0.154,2.35969613691214,3.78960832497788,1.42991218806574,0.298544701580029,0,0,0.551558863772928,0.503907802959429,2.5608925069142,2.19086039055504
"050502B",0.5087,0.6806,0.1719,2.22626472707567,3.79291801219085,1.56665328511518,0.326868367272375,0,0,0.528405464634766,0.49525714826309,2.37602352807044,2.12793088480799
"050505A",0.5947,0.7218,0.1271,2.93278314568342,4.26987118996723,1.33708804428381,0.253723097981856,0,0,0.631509025882159,0.57005341142038,3.28064315895239,2.71580924922122
"050525A",0.3318,0.2068,-0.125,1.14684158936074,0.609904076215706,-0.536937513145035,-0.333521432163324,0,0,0.352249565129196,0.281265990771326,1.25034738510776,0.911023337767771
"050603A",0.3475,0.5821,0.2346,1.225871044793,2.82032226884411,1.5944512240511,0.417360398376425,0,0,0.364996729799192,0.337516315638927,1.31737720024798,1.1752857539394
"050730A",0.4643,0.6961,0.2318,1.91272846483498,3.96706679223423,2.05433832739924,0.413591846723524,0,0,0.500963289787932,0.427775620424843,2.16929955594117,1.6777844818067
"050801A",0.4454,0.4082,-0.0372,1.78868846315917,1.559764430599,-0.228924032560172,-0.089431679659133,0,0,0.456306842648316,0.433057070931365,1.85961023396232,1.71054780340661
"050802A",0.4478,0.433,-0.0148,1.80414198545369,1.71019163189084,-0.0939503535628505,-0.0346655758424372,0,0,0.467460519848988,0.42906278594802,1.93400277218164,1.68573269393653
"050820A",0.4382,0.5581,0.1199,1.74283700424738,2.61493089917358,0.8720938949262,0.241247735918154,0,0,0.453521893052186,0.417679840930239,1.84133141463881,1.61625361197637
"050824A",0.239,0.2619,0.0229,0.733803997754138,0.82767932897041,0.0938753312162719,0.0513631301335311,0,0,0.299750550180224,0.18208532483184,0.994116606392027,0.520846297535046
