"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","Beta","log10Fa","log10T90","Alpha","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","BetaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10PeakFlux_opt","PhotonIndex_opt","log10NH_opt","log10Ta_opt","Beta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"000926A",0.49787317309306,1.68528474322361,21.1545856750033,5.12,1.01,-12.89,1.397940009,2.14,1.99215342891529,-5.73555346213348,0.247877696485752,2.84018466574227,447.516495081055,26.2144,1.0201,166.1521,1.95423626876292,4.5796,3.96867528433895,32.8965735169914,0.0951998384562338,0.03,0.02,0.04,0.16,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,0.124468293273265,0.421321185805902,5.28864641875083,1.28,0.2525,-3.2225,0.34948500225,0.535,0.498038357228823,-1.43388836553337,2.04,0.482873583608754
"011211A",0.0099540052549258,1.73074257586597,20.9997109050585,5.23,0.41,-13.52,2.431363764,1.98,1.91703135792151,-5.54501519311092,9.90822206150904e-05,2.99546986391517,440.987858096033,27.3529,0.1681,182.7904,5.91152975289225,3.9204,3.67500922725439,30.7471934918309,0.179553274179706,0.06,0.04,0.11,0.15,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",1,0.00248850131373145,0.432685643966493,5.24992772626462,1.3075,0.1025,-3.38,0.607840941,0.495,0.479257839480377,-1.38625379827773,2.14,0.496929648073215
"020124A",0.286068555062632,1.66001947418774,21.1181965423643,4.454184,1.32,-12.7747,1.661907293,1.961572,2.02236215224452,-5.79045330113306,0.0818352181956221,2.75566465468254,445.978225201927,19.839755105856,1.7424,163.19296009,2.76193585052659,3.847764711184,4.08994867483109,33.5293494326027,0.0504266082569071,0.05493,0.065307,0.072088,0.25,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,0.071517138765658,0.415004868546935,5.27954913559107,1.113546,0.33,-3.193675,0.41547682325,0.490393,0.50559053806113,-1.44761332528327,3.198,0.623042434246382
"021004A",0.355429318153098,1.67186887883644,21.0810752717726,5.4,0.67,-12.92,2,1.33,1.96438080403683,-5.46547580308238,0.126330000202776,2.79514554802181,444.411734614142,29.16,0.4489,166.9264,4,1.7689,3.85879194326838,29.871425754079,0.0745819195938403,0.02,0.02,0.03,0.14,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,0.0888573295382745,0.41796721970911,5.27026881794315,1.35,0.1675,-3.23,0.5,0.3325,0.491095201009208,-1.3663689507706,2.34,0.523746466811564
"030226A",0.320464469437468,1.69364237204975,21.0511868725117,4.965035,0.57,-13.1407,1.344195716,2.121816,1.94602716780256,-5.88907181132459,0.102697476171838,2.8684244844023,443.152468741409,24.651572551225,0.3249,172.67799649,1.80686212291275,4.502103137856,3.78702173782565,34.6811667989379,0.0249377639674928,0.064136,0.032442,0.132162,0.12,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,0.080116117359367,0.423410593012437,5.26279671812792,1.24125875,0.1425,-3.285175,0.336048929,0.530454,0.48650679195064,-1.47226795283115,1.99,0.47567118832443
"030329A",0.780376798107853,1.63361744707194,21.2067839200846,5.5,0.41,-11.76,1.798650645,1.46,1.94924493372129,-5.15361554086595,0.608987947025065,2.66870596337784,449.727684233159,30.25,0.1681,138.2976,3.23514414275892,2.1316,3.79955581163812,26.559753143055,0.0344798070207195,0.09,0.05,0.03,0.17,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",1,0.195094199526963,0.408404361767985,5.30169598002115,1.375,0.1025,-2.94,0.44966266125,0.365,0.487311233430323,-1.28840388521649,0.17,0.0681858617461616
"050315A",0.285557309,2.11,21.91683806,4.62811363520312,0.810885446614251,-12.4358641833968,1.980457892,1.04434177453688,1.99544,-5.492144128,0.0815429767233215,4.4521,480.347790548265,21.419435820353,0.657535207530793,154.650717987891,3.92221346198508,1.09064974204284,3.9817807936,30.1636471227249,0.0636907468763651,0.791538734163206,0.57654657831525,0.340469127823524,0.213424535334977,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",0.499687083,1.9,20.92661714,4.2983586277082,0.833968453887253,-12.419372600292,1.505149978,1.47901644333471,1.98053,-5.966576245,0.249687180917049,3.61,437.923304924142,18.4758868923935,0.695503382079095,154.240815784884,2.2654764562734,2.18748963965446,3.9224990809,35.6000320873983,0.148833498209321,0.750037196575462,0.590543387684169,0.351787262548194,0.213362831257301,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050401A",1.029383778,1.4,22.12570242,4.1414,0.39,-13.6002,1.506369717,0.87515,1.78711,-5.085128182,1.05963096240955,1.96,489.546707578394,17.15119396,0.1521,184.96544004,2.26914972429466,0.7658875225,3.1937621521,25.8585286273706,0.00846336277739286,0.12095,0.161195,0.047862,0.05,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,2.8992,0.590975511840649
"050416A",0.688419822,3.08,21.75162856,4.15,0.92,-13.54,0.397940009,0.94,2.06183,-6.435333936,0.473921851322512,9.4864,473.133345012208,17.2225,0.8464,183.3316,0.15835625076292,0.8836,4.2511429489,41.4135228678333,0.0771432232434421,0.05,0.06,0.08,0.3,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0,0,0,0,0.65,0.217483944213906
