"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3844,0.4697,0.0853,1.42325992409255,1.94917130750827,0.525911383415724,0.178325139023566,0,0,0.430407218679113,0.351411409706929,1.6940597203363,1.24600857340926
"050318A",0.4446,0.3874,-0.0572,1.78355623757743,1.44005715942821,-0.343499078149219,-0.140775012922121,0,0,0.467461434465602,0.419019263990803,1.93400895114687,1.62433494837045
"050401A",0.4401,0.5911,0.151,1.75486296095247,2.90031784475066,1.14545488379819,0.293682445737038,0,0,0.483751952540521,0.408309500714106,2.04615468027517,1.56040991743782
"050730A",0.546,0.6961,0.1501,2.51560440528298,3.96706679223423,1.45146238695125,0.292217207390997,0,0,0.563843786134101,0.537285078266715,2.66305792323164,2.44576042104113
"050802A",0.4525,0.433,-0.0195,1.83465363348967,1.71019163189084,-0.124462001598824,-0.0459236904631685,0,0,0.468711389022385,0.430755801856918,1.94246556449823,1.69622295500962
"050803A",0.4905,0.6532,0.1627,2.09385531545165,3.49987033872151,1.40601502326985,0.312456785959154,0,0,0.50823011114043,0.479904413979775,2.2227759283578,2.01928711743396
"050824A",0.2348,0.2619,0.0271,0.717117443244453,0.82767932897041,0.110561885725957,0.0604930438143324,0,0,0.266884181219967,0.193407608183268,0.848775516975125,0.561016911873716
"060115A",0.5742,0.6561,0.0819,2.7514572346201,3.5300187543224,0.778561519702303,0.171867173609254,0,0,0.599008884574146,0.550818342525476,2.97199675093907,2.55482595569683
"060124A",0.4439,0.518,0.0741,1.7790732888091,2.29609712177458,0.517023832965476,0.156859404885229,0,0,0.487242553132798,0.394170081786778,2.07073651353782,1.47839247495954
"060206A",0.6039,0.7031,0.0992,3.01698305746236,4.04777513500947,1.03079207754711,0.204207210102908,0,0,0.655550215088696,0.556762490804647,3.52428771165441,2.60381501834322
"060210A",0.5593,0.6911,0.1318,2.62493313460957,3.91020924883086,1.28527611422129,0.261755874156955,0,0,0.576809236008943,0.530329072001321,2.77406378638157,2.39101001169849
"060306A",0.4903,0.4081,-0.0822,2.09243087044156,1.55917509090989,-0.53325577953167,-0.208370182026926,0,0,0.507051273261239,0.462946915238737,2.21403996916575,1.90366771113796
"060418A",0.4545,0.396,-0.0585,1.84773780017375,1.48885731828239,-0.358880481891355,-0.144194879816986,0,0,0.475067194723299,0.431051282977454,1.98584455773345,1.69805800955075
"060526A",0.523,0.6254,0.1024,2.33426412763235,3.22085079179884,0.886586664166495,0.210049278664183,0,0,0.536186806422042,0.507354070770059,2.4370575690628,2.21628163393999
"060604A",0.5382,0.4963,-0.0419,2.45302720505641,2.13545086914429,-0.317576335912116,-0.10128569994107,0,0,0.556612564175422,0.523471406855668,2.60257112828918,2.33788528424041
"060605A",0.6137,0.6794,0.0657,3.10865807010625,3.7796929697961,0.671034899689854,0.140392887980518,0,0,0.628836689783603,0.576035835156784,3.25438403036028,2.76734883414428
"060708A",0.4444,0.4654,0.021,1.78227465767512,1.92011530139416,0.137840643719034,0.047203835976348,0,0,0.461091241420866,0.416416272071828,1.89128725238377,1.60865275059571
"060714A",0.5585,0.5695,0.011,2.6182619073243,2.71107729492926,0.0928153876049604,0.0250103622826131,0,0,0.590976815031656,0.534712304515726,2.89921170037891,2.42540797503335
"060729A",0.3574,0.1875,-0.1699,1.27719383822686,0.539926526059492,-0.737267312167372,-0.478767850083056,0,0,0.397857172255485,0.303541321433411,1.49952320072851,1.01159858488941
"060906A",0.6147,0.6708,0.0560999999999999,3.11812950513853,3.68597535308626,0.567845847947733,0.121179862282831,0,0,0.633728317520331,0.583570347351613,3.30257369310657,2.83327827105446
"060908A",0.5508,0.4599,-0.0909,2.5546758199907,1.88336750678026,-0.671308313210436,-0.232820933034672,0,0,0.589276699498231,0.528842098607902,2.88397744755842,2.37941944464309
"060927A",0.6521,0.8109,0.1588,3.48848729274598,5.46993622808681,1.98144893534083,0.306254786057877,0,0,0.677256649297114,0.638231668254018,3.75616211565572,3.34742069342021
"061121A",0.3988,0.3644,-0.0344,1.50495541277255,1.31419526151125,-0.190760151261302,-0.0824304476091307,0,0,0.419421846606917,0.36954630588547,1.6267687841833,1.34178115015584
"070110A",0.5072,0.5253,0.0181,2.21514082483269,2.35196905022163,0.136828225388937,0.0408202532120307,0,0,0.514943291644657,0.495724573992369,2.27297954891725,2.13129925011083
"070208A",0.5644,0.3355,-0.2289,2.66775231599495,1.16520987930793,-1.50254243668702,-0.693947709663732,0,0,0.587396861756041,0.55170831927597,2.86720203640565,2.56211814202305
"070223A",0.5495,0.4199,-0.1296,2.54405130280993,1.62966242003022,-0.914388882779705,-0.34772101385135,0,0,0.570831159867954,0.504980773224603,2.72246960126752,2.19875349362457
