GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
000301C,2.03,0.3010299956639812,-11.315451,4.470624,2.58537,0.774698,,,,,,,0.056364,0.017365000000000002,0.14,0.12,,,
000926A,2.07,1.3979400086720377,-10.873933000000001,4.206676,2.086808,0.931022,,,,,,,0.014091,0.006946,0.04,0.16,,,
010222A,1.47688,0.3010299956639812,-10.74096093,4.039829607,1.468183844,0.8379719999999999,,,,,,,0.01000461,0.0070588725,0.018945,0.22,,,
011211A,2.14,2.4313637641589874,-11.169844,4.244879,1.974456,0.707702,,,,,,,0.028182,0.013892,0.11,0.15,,,
020124A,3.198,1.6619072927660208,-10.819787186432,3.9754379691421997,1.9615158654220002,1.046404,,,,,,,0.0258004072865,0.0226811620814,0.072087664,0.25,,,
021004A,2.34,2.0,-10.888024,4.30392,1.518026,0.804474,,,,,,,0.009394,0.006946,0.03,0.14,,,
030226A,1.99,1.3441957158714348,-10.99170938257,4.152856825677,2.074039040716,0.767254,,,,,,,0.030124721473000004,0.011267273304,0.13216194,0.12,,,
030328A,1.52,2.29928933408768,-10.78469,3.949674,1.46185,0.689092,,,,,,,0.009394,0.006946,0.04,0.45,,,
030329A,0.17,1.7986506454452689,-10.343172,4.33865,1.609312,0.707702,,,,,,,0.042273,0.017365000000000002,0.03,0.17,,,
030429A,2.658,1.0128372247051722,-11.431185079999999,4.324362078,2.714722262,0.636984,,,,,,,0.38548279,0.098792958,1.50176,0.24,,,
040924A,0.86,0.3783979009481377,-10.54984,3.64405,1.49696,0.789586,,,,,,,0.018788,0.013892,0.02,0.48,,,
041006A,0.72,1.2405492482825997,-10.667265,3.845484,1.454828,0.689092,,,,,,,0.014091,0.010419,0.01,0.27,,,
050315,1.949,1.9804578922761,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.0200616236825,0.0324500000000008,0.04512,0.049165,0.001,8.84848484848485e-08,0.0545454545454545,0.133333333333333
050318,1.44,1.505149978319906,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.9664574115296,0.0618196900000001,0.043780336,0.0859065194999999,0.037,4.66666666666667e-08,0.0606060606060606,0.121212121212121
050319,3.24,2.1832698436828046,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.9553911899328,0.0416499999999997,0.06193,0.034558,0.0089999999999999,8.96969696969697e-08,0.115151515151515,0.127272727272727
050319A,3.24,2.183383742052695,-10.845751,3.9705120000000003,1.117772,0.830528,,,,,,,0.009394,0.010419,0.03,0.42,,,
050401,2.9,1.5224442335063197,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.62535750013415,0.0194550000000007,0.02833,0.0260615,0.0174145,1.85454545454545e-07,0.0424242424242424,0.557575757575758
050401A,2.8992,1.5063697170955042,-11.207513939999998,3.8668082200000002,1.1986303299999999,0.700258,,,,,,,0.056810215000000004,0.0559830235,0.0478615,0.05,,,
050408A,1.24,1.5314789170422551,-11.043025,3.9427280000000002,1.166926,0.659316,,,,,,,0.014091,0.017365000000000002,0.05,0.27,,,
050416A,0.6528,0.3979400086720376,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.444072089685655,0.0484,0.070765,0.0149485,0.005,2.24242424242424e-08,0.133333333333333,0.290909090909091
050502A,3.79,1.3010299956639813,-10.73772,3.7204560000000004,1.5882459999999998,0.8379719999999999,,,,,,,0.018788,0.010419,0.02,0.16,,,
050502B,5.2,1.2430380486862944,-10.6650597585,3.6704851319490004,1.5381737330599998,0.89008,,,,,,,0.057700738018,0.048615963926,0.19846241,0.06,,,
